scorer,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000
individuals,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1
bodyparts,bodybase,bodybase,bodybase,tailbase,tailbase,tailbase,headbase,headbase,headbase,noses,noses,noses,tailtail,tailtail,tailtail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1376.657,936.925,1.0,1309.711,955.682,1.0,1398.351,910.536,1.0,1386.681,879.155,1.0,1289.2,968.057,1.0
1,1375.508,939.399,1.0,1313.872,960.09,1.0,1400.51,905.21,1.0,1391.207,873.574,1.0,1291.527,968.574,1.0
2,1379.135,935.799,1.0,1320.348,961.411,1.0,1405.138,907.481,1.0,1394.513,875.73,1.0,1295.22,970.864,1.0
3,1386.805,929.28,1.0,1322.802,959.66,1.0,1405.639,904.75,1.0,1392.306,870.853,1.0,1301.945,972.726,1.0
4,1388.041,925.475,1.0,1331.431,961.845,1.0,1406.173,897.754,1.0,1397.09,859.133,1.0,1312.126,968.345,1.0
5,1391.354,919.866,1.0,1335.342,960.422,1.0,1408.245,886.66,1.0,1396.371,859.572,1.0,1314.265,969.211,1.0
6,1394.404,919.3,1.0,1342.422,960.338,1.0,1411.778,882.843,1.0,1400.678,848.429,1.0,1323.328,967.607,1.0
7,1402.907,910.084,1.0,1353.518,958.81,1.0,1417.119,877.419,1.0,1405.079,845.472,1.0,1330.226,967.962,1.0
8,1406.04,908.5,1.0,1358.278,958.881,1.0,1422.972,873.364,1.0,1417.434,837.214,1.0,1344.474,971.513,1.0
9,1411.14,903.28,1.0,1367.751,949.659,1.0,1423.339,864.457,1.0,1418.703,829.702,1.0,1353.171,967.767,1.0
